序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4173,002268,电科网安,17.49,-1.13,-0.2,126990.0,225229322.52,3.45,18.04,17.43,17.71,17.69,0.89,1.51,-52.03,2.8,14790890782.0,14748961183.0,0.06,0.06,50.26,-21.92
4175,688789,宏华数科,69.74,-1.13,-0.8,11721.0,81994108.0,2.04,70.73,69.29,70.73,70.54,0.98,0.65,30.28,4.13,12514935894.0,12514935894.0,-0.2,-0.07,23.41,4.84
4176,300601,康泰生物,18.29,-1.14,-0.21,76449.0,140822262.76,1.78,18.62,18.29,18.51,18.5,0.72,0.87,43.64,2.22,20428407156.0,16120434914.0,-0.11,0.0,32.34,-32.13
4196,300034,钢研高纳,16.32,-1.15,-0.19,82527.0,135874132.79,2.36,16.68,16.29,16.5,16.51,0.66,1.08,40.39,3.62,12650247476.0,12506944331.0,0.06,0.06,21.34,-19.33
4204,000902,新洋丰,12.82,-1.16,-0.15,55772.0,71740337.18,1.62,13.0,12.79,12.97,12.97,0.52,0.49,10.84,1.57,16085677752.0,14650468266.0,0.08,0.23,5.08,15.6
4206,688198,佰仁医疗,118.72,-1.16,-1.39,1635.0,19463314.0,2.01,120.42,118.0,118.46,120.11,0.72,0.12,208.43,13.92,16311551971.0,16311551971.0,-0.44,-0.36,20.06,-4.05
4212,601156,东航物流,15.27,-1.17,-0.18,116197.0,178855517.0,2.39,15.64,15.27,15.59,15.45,0.91,1.23,8.8,1.38,24241973340.0,14423974140.0,-0.13,-0.07,8.68,6.12
4213,600602,云赛智联,14.42,-1.17,-0.17,292675.0,428801848.0,4.25,14.98,14.36,14.65,14.59,0.88,2.72,93.66,4.19,19721851221.0,15491449116.0,0.14,0.21,54.72,25.07
4216,002597,金禾实业,24.59,-1.17,-0.29,36512.0,90031872.35,1.89,24.88,24.41,24.86,24.88,0.57,0.64,25.69,1.88,14015687168.0,13934630856.0,-0.04,0.04,17.77,13.27
4219,300775,三角防务,24.49,-1.17,-0.29,100732.0,248744165.66,2.38,25.07,24.48,24.7,24.78,0.77,1.89,45.34,2.44,13475290416.0,13039561274.0,0.0,0.0,14.33,-11.65
4226,002928,华夏航空,8.38,-1.18,-0.1,158809.0,134845014.5,4.83,8.76,8.35,8.45,8.48,1.14,1.24,26.2,3.16,10711664189.0,10711664189.0,-0.12,0.24,50.18,17.37
4230,000543,皖能电力,7.53,-1.18,-0.09,194353.0,146835522.73,1.71,7.64,7.51,7.61,7.62,0.57,0.86,8.09,1.11,17069480882.0,17069480882.0,0.13,0.27,-12.85,24.67
4234,600529,山东药玻,24.21,-1.18,-0.29,59252.0,144037203.0,1.27,24.48,24.17,24.45,24.5,0.77,0.89,16.73,2.06,16066097676.0,16066097676.0,-0.08,0.08,2.45,-2.77
4248,002240,盛新锂能,15.67,-1.2,-0.19,153782.0,242058180.19,2.14,15.94,15.6,15.85,15.86,0.61,1.77,-23.3,1.18,14342654974.0,13580406362.0,0.06,0.06,36.26,-30.39
4249,002925,盈趣科技,14.01,-1.2,-0.17,83173.0,116831116.88,1.69,14.19,13.95,14.16,14.18,0.79,1.13,47.49,2.31,10891959394.0,10313664519.0,0.0,0.0,33.94,-25.79
4255,003021,兆威机电,67.36,-1.2,-0.82,93319.0,634452184.41,5.1,70.0,66.52,67.0,68.18,0.56,4.53,76.24,5.13,16180107760.0,13889442045.0,0.04,0.37,79.15,0.93
4257,002895,川恒股份,22.12,-1.21,-0.27,74460.0,165430158.48,2.1,22.48,22.01,22.37,22.39,0.47,1.38,13.38,2.1,11988794579.0,11948509635.0,0.0,-0.18,35.46,22.89
4296,601369,陕鼓动力,8.72,-1.25,-0.11,121351.0,106417931.0,2.15,8.88,8.69,8.77,8.83,0.5,0.72,16.94,1.77,15047223568.0,14748722272.0,0.0,0.11,23.51,17.68
4302,300083,创世纪,7.12,-1.25,-0.09,291817.0,209512084.0,2.36,7.27,7.1,7.2,7.21,0.83,1.95,44.09,2.32,11853821634.0,10630410724.0,-0.14,0.14,23.61,12.48
4305,003006,百亚股份,25.29,-1.25,-0.32,16656.0,42335527.0,2.66,25.77,25.09,25.61,25.61,0.63,0.39,34.14,7.76,10857588533.0,10840467203.0,0.16,0.2,18.34,73.1
4306,688276,百克生物,26.08,-1.25,-0.33,23281.0,60957234.0,1.78,26.47,26.0,26.41,26.41,0.89,0.56,33.11,2.57,10788190156.0,10788190156.0,0.0,0.23,9.67,-52.29
